image_id,healthy,multiple_diseases,rust,scab
Train_0,0.003165727,0.006244111,0.00029969282,0.99029046
Train_1,0.0011480933,0.7576698,0.23969977,0.0014822874
Train_2,0.9949386,0.0012600352,0.0012050025,0.0025963334
Train_3,0.00066539424,0.003431216,0.9957199,0.00018348356
Train_4,0.95565474,0.017349426,0.0028925915,0.024103211
Train_5,0.97772735,0.0031994695,0.00038376308,0.018689407
Train_6,0.00537972,0.8239513,0.013877271,0.15679166
Train_7,0.0025273631,0.0022433912,0.00013648985,0.99509275
Train_8,0.0010182812,0.0044870744,0.00030859758,0.99418604
Train_9,0.73176867,0.050778884,0.001519789,0.21593265
Train_10,0.00047094745,0.0040733614,0.99522364,0.0002320468
Train_11,0.0020532531,0.0042455485,0.00029168584,0.9934095
Train_12,0.0034125478,0.0026078196,0.00017263328,0.99380696
Train_13,0.99293214,0.002500046,0.0021327096,0.002435093
Train_14,0.006485393,0.105505206,0.8760711,0.011938293
Train_15,0.026373385,0.028141635,0.94218653,0.0032983988
Train_16,0.0036647387,0.0031581812,0.00016626471,0.9930108
Train_17,0.0017839129,0.0030548708,0.00047178686,0.99468946
Train_18,0.9944607,0.0012690355,0.0010051423,0.0032650856
Train_19,0.0022610384,0.0020827574,0.00015396788,0.99550223
Train_20,0.0024393052,0.008278328,0.0003909759,0.98889136
Train_21,0.00047080757,0.0044381674,0.99485534,0.00023566344
Train_22,0.25457364,0.01715076,0.024435677,0.70383996
Train_23,0.0038726104,0.040212277,0.9552325,0.00068261265
Train_24,0.9940326,0.001622595,0.0013326611,0.0030121016
Train_25,0.004534193,0.79020494,0.008940925,0.19631994
Train_26,0.0009857871,0.011512799,0.98736596,0.00013546982
Train_27,0.008730843,0.009189757,0.0003334919,0.98174596
Train_28,0.12644419,0.0070216083,0.00045580836,0.8660784
Train_29,0.0013020511,0.0027734847,0.0003220133,0.9956025
Train_30,0.0019310896,0.0025936877,0.00029168263,0.9951835
Train_31,0.00035953516,0.0074926023,0.9918525,0.00029531308
Train_32,0.00181421,0.002600667,0.0003301283,0.995255
Train_33,0.71941775,0.00837772,0.0002781821,0.27192637
Train_34,0.00035509598,0.013047027,0.9863082,0.00028963023
Train_35,0.0003264543,0.011901162,0.98749053,0.0002818078
Train_36,0.0035227009,0.8179714,0.17367615,0.004829753
Train_37,0.00075168407,0.0037356291,0.995422,9.069643e-05
Train_38,0.00026931742,0.0050706766,0.9944447,0.00021532246
Train_39,0.00042314894,0.002535077,0.9968095,0.00023228614
Train_40,0.0010992929,0.0036473149,0.00029564404,0.99495775
